Date of Sale,Product ID,Product Name,Category,Quantity Sold,Unit Price,Total Sales Value,Cost of Goods Sold (COGS),Gross Profit,Sales Channel,Customer ID,Customer Name,Customer City,Customer State,Customer Country,Payment Method,Discount Applied,Tax Amount,Shipping Cost,Return Status,Sales Representative ID,Sales Representative Name,Region,Quarter,Notes/Comments
2024-01-10,P8579,Headphones,Electronics,2,521.66,1043.32,795.79,247.53,Retail,C41000,Scott Johnson,East Brooke,New Jersey,Christmas Island,PayPal,104.33,104.33,15.69,Not Returned,S862,Adam Wang,West,Q1,Likely machine environmental pressure treatment law past.
2024-11-04,P6026,Doll,Toys,6,24.75,148.5,110.4,38.1,Wholesale,C88768,Mackenzie Wolf,South Toddfort,Louisiana,Jamaica,PayPal,0.0,14.85,6.83,Not Returned,S494,Robert Williams,West,Q4,Him dog onto movement we window.
2024-05-14,P4629,Vacuum Cleaner,Home & Kitchen,3,555.66,1666.98,969.74,697.24,Retail,C72358,Sherry Holt,Amandaburgh,Nevada,Trinidad and Tobago,Credit Card,0.0,166.7,18.59,Not Returned,S666,Suzanne Barajas,North,Q2,Himself artist usually start chance.
2024-05-08,P6897,Vacuum Cleaner,Home & Kitchen,1,390.05,390.05,209.26,180.79,Retail,C72406,Theresa Jenkins,Dyerview,Nevada,Guinea-Bissau,Credit Card,39.01,39.01,6.38,Not Returned,S735,Holly Kirby,East,Q2,Green wife in end decade leader.
2024-02-08,P8353,Blender,Home & Kitchen,10,182.06,1820.6,1382.89,437.71,Retail,C44659,Eugene Brooks,Harrischester,Kansas,Vietnam,PayPal,0.0,182.06,8.91,Not Returned,S338,Stephanie Horton,North,Q1,Five admit play avoid few beat.
2024-11-24,P8293,Smartwatch,Electronics,7,650.11,4550.77,2910.07,1640.7,Online,C52523,Kenneth Schroeder,Walshport,Hawaii,Dominican Republic,Credit Card,0.0,455.08,9.18,Not Returned,S813,Kathleen Walton,South,Q4,Political at film kitchen environment method myself.
2024-08-26,P1913,Smartwatch,Electronics,5,113.65,568.25,240.57,327.68,Retail,C65457,Ryan Parks,Kevinburgh,Wyoming,Gibraltar,Bank Transfer,56.83,56.83,16.04,Not Returned,S698,Michael Bell,East,Q3,Surface concern law enough information which join.
2024-05-15,P1774,Microwave,Home & Kitchen,9,245.7,2211.3,1347.41,863.89,Online,C98902,Steven Mathews,Conniemouth,New York,Haiti,PayPal,221.13,221.13,0.85,Not Returned,S307,Jessica Jones,North,Q2,Story teacher exist these.
2024-10-14,P9828,T-Shirt,Clothing,6,158.2,949.2,651.28,297.92,Wholesale,C74545,Sarah Mcclure,Mooneystad,Utah,Kiribati,Bank Transfer,142.38,94.92,8.67,Not Returned,S276,Jennifer Johnson,North,Q4,Goal according similar age option war partner.
2024-07-03,P5491,Vacuum Cleaner,Home & Kitchen,4,397.15,1588.6,673.13,915.47,Wholesale,C23141,Mitchell Costa,New Amanda,Indiana,Poland,Credit Card,158.86,158.86,17.89,Not Returned,S142,Jared Dunn,South,Q3,Five anything rate significant meet.
2024-10-23,P3286,T-Shirt,Clothing,3,552.28,1656.84,932.77,724.07,Online,C58397,Matthew Mcbride,Wrightview,South Carolina,Saint Pierre and Miquelon,PayPal,165.68,165.68,15.57,Not Returned,S342,Megan Carter,North,Q4,Understand cut make drug during.
2024-07-07,P2413,Vacuum Cleaner,Home & Kitchen,10,679.45,6794.5,3725.99,3068.51,Online,C63665,Sabrina Lopez,Edwardfurt,Illinois,Senegal,Credit Card,679.45,679.45,18.94,Not Returned,S919,Louis Clark,South,Q3,Term main feeling bag season short.
2024-04-18,P3210,Non-fiction,Books,9,785.98,7073.82,3145.16,3928.66,Wholesale,C86379,Colleen Brown,South Kellyfort,Missouri,Falkland Islands (Malvinas),Bank Transfer,0.0,707.38,12.33,Not Returned,S579,Justin Schmidt,East,Q2,Body phone would hard movement similar certainly little.
2024-08-16,P7858,Shoes,Clothing,6,106.43,638.58,293.67,344.91,Online,C54060,Shirley Rose,Amandaberg,California,Cape Verde,PayPal,0.0,63.86,7.48,Not Returned,S990,Andrew Villanueva,East,Q3,Pressure under rock next week.
2024-03-17,P4272,Action Figure,Toys,3,586.36,1759.08,1402.07,357.01,Retail,C96361,Melissa Gibbs,Johnsonborough,Ohio,Spain,Bank Transfer,87.95,175.91,15.31,Not Returned,S131,Jason Coleman,West,Q1,Next black bag wrong indeed fill Democrat.
2024-07-28,P1855,Fiction,Books,7,296.5,2075.5,1402.93,672.57,Retail,C10403,Mark Woodard,Abigailfort,Mississippi,Bolivia,Bank Transfer,103.78,207.55,8.08,Not Returned,S961,Miranda Peterson,West,Q3,Least mother anything western Congress step.
2024-11-03,P7636,Doll,Toys,1,316.87,316.87,147.96,168.91,Retail,C25972,Stacy Fields MD,Lake Johnhaven,Utah,Russian Federation,Bank Transfer,47.53,31.69,3.18,Not Returned,S333,Andrew Aguirre,South,Q4,Seem into dinner both in sea.
2024-05-10,P6138,Smartwatch,Electronics,8,865.84,6926.72,4178.27,2748.45,Online,C50929,Lindsey Palmer,New Carolynshire,New Jersey,Gabon,Bank Transfer,0.0,692.67,9.82,Not Returned,S311,Joshua Wilson,East,Q2,Rest term tree pass he training one.
2024-01-08,P4712,Toaster,Home & Kitchen,1,228.47,228.47,164.14,64.33,Retail,C27441,Eric Baxter,Lynnbury,Missouri,Switzerland,PayPal,11.42,22.85,15.42,Not Returned,S499,Travis Zimmerman,West,Q1,Head full thing.
2024-07-03,P1504,Action Figure,Toys,10,402.26,4022.6,2941.18,1081.42,Retail,C50588,Jason Yang,Russellfort,Illinois,Cayman Islands,Credit Card,402.26,402.26,19.14,Not Returned,S826,Dr. Andrew Abbott,South,Q3,Bit mind race born.
2024-08-24,P9136,Jeans,Clothing,8,47.38,379.04,289.24,89.8,Wholesale,C63745,Jeffrey Rice,East Nicholasville,Nebraska,Tokelau,Credit Card,37.9,37.9,13.8,Not Returned,S416,Peter Lowe,East,Q3,Book current black wide.
2024-03-24,P6035,Jeans,Clothing,3,172.2,516.6,249.86,266.74,Wholesale,C87722,Angela Miller,West Sharon,Pennsylvania,Mali,Credit Card,0.0,51.66,2.09,Not Returned,S358,Brianna Huerta,East,Q1,Stuff north development everything candidate.
2024-05-25,P5571,T-Shirt,Clothing,10,945.17,9451.7,5183.67,4268.03,Retail,C44152,Kathleen Murphy,East David,South Carolina,United States Virgin Islands,PayPal,945.17,945.17,17.01,Not Returned,S670,James Lawrence,North,Q2,Social example state into change treatment figure program.
2024-01-16,P8928,Toaster,Home & Kitchen,6,891.12,5346.72,3394.87,1951.85,Online,C25639,Jerry Kim,Clarkland,Virginia,Guinea,PayPal,802.01,534.67,18.99,Not Returned,S993,Gary Charles DDS,East,Q1,Or like crime thank.
2024-10-06,P1660,Microwave,Home & Kitchen,1,134.79,134.79,98.34,36.45,Online,C58834,Darlene Williams,Port Victoria,Massachusetts,Somalia,PayPal,20.22,13.48,10.78,Not Returned,S213,Destiny Johnson,North,Q4,Happen debate view country adult represent.
2024-11-12,P4460,Non-fiction,Books,6,646.04,3876.24,2174.48,1701.76,Online,C20880,Daniel Gomez,New Peterborough,Idaho,Kazakhstan,Credit Card,387.62,387.62,4.16,Not Returned,S811,Daniel Stout,North,Q4,Sign nature realize southern.
2024-07-29,P2483,Jacket,Clothing,2,934.67,1869.34,1312.22,557.12,Online,C45825,Cathy Bush,Whiteheadborough,Florida,Wallis and Futuna,Credit Card,93.47,186.93,4.31,Not Returned,S545,David Blankenship,South,Q3,Finally site tend staff name.
2024-04-14,P7859,Headphones,Electronics,4,961.55,3846.2,1695.01,2151.19,Wholesale,C57573,Dr. Michael Miller DDS,East David,Illinois,Luxembourg,Bank Transfer,384.62,384.62,19.95,Not Returned,S610,Loretta Garcia,South,Q2,Interest concern important son participant tree.
2024-10-16,P5348,Smartphone,Electronics,7,644.38,4510.66,3215.11,1295.55,Online,C52968,Melissa Mclean,Port Jennifer,Indiana,Vanuatu,PayPal,0.0,451.07,12.43,Not Returned,S200,Luke Li,South,Q4,Simple wind radio.
2024-06-04,P2584,Fiction,Books,7,485.38,3397.66,2590.97,806.69,Online,C27098,Joshua Harris,North Mark,New York,Serbia,Credit Card,169.88,339.77,0.79,Not Returned,S578,Richard Odom,West,Q2,Shoulder war film Mr different admit break Republican.
2024-10-07,P7951,Non-fiction,Books,4,225.3,901.2,654.51,246.69,Retail,C32895,Kevin Pugh,Lake Chloeview,Texas,Bermuda,Bank Transfer,90.12,90.12,2.04,Not Returned,S764,Alexander Mcdonald,West,Q4,Change area either.
2024-05-14,P8417,Action Figure,Toys,3,606.68,1820.04,1333.96,486.08,Retail,C55975,Tammy Underwood,Port Brianna,Arizona,Solomon Islands,PayPal,182.0,182.0,7.81,Not Returned,S710,Teresa Cook,West,Q2,Less mother purpose part maintain study face partner.
2024-02-26,P5530,Jacket,Clothing,1,312.52,312.52,233.69,78.83,Online,C61835,Gregory Morris,Leeton,Alaska,Ethiopia,Credit Card,31.25,31.25,11.59,Returned,S934,Patricia Stephens,North,Q1,Charge world reveal stand election.
2024-08-06,P1790,Smartphone,Electronics,1,412.94,412.94,268.12,144.82,Retail,C53465,Logan Brady,Port Jeffrey,South Carolina,Saint Lucia,Bank Transfer,0.0,41.29,18.01,Not Returned,S530,Elizabeth Myers,East,Q3,Mention detail enough suddenly.
2024-01-23,P2023,Blender,Home & Kitchen,6,657.1,3942.6,2640.38,1302.22,Wholesale,C25531,Veronica Norton,Jesusport,Michigan,Mali,Bank Transfer,0.0,394.26,17.54,Not Returned,S200,Ebony Hobbs,North,Q1,Born baby culture power range statement step.
2024-04-18,P5581,Biography,Books,2,117.22,234.44,105.18,129.26,Online,C82698,Jacob Landry,Lucaschester,Indiana,Singapore,Credit Card,11.72,23.44,9.66,Not Returned,S366,Sarah Davis,West,Q2,Pass finally onto black trip.
2024-04-14,P2231,Smartwatch,Electronics,4,138.77,555.08,375.47,179.61,Wholesale,C70061,Benjamin Horton,New Roberto,Massachusetts,Macao,Credit Card,27.75,55.51,4.57,Not Returned,S221,John Le,South,Q2,Thing arrive my near tend he listen.
2024-08-10,P5199,Doll,Toys,10,814.1,8141.0,5045.47,3095.53,Wholesale,C97055,Courtney Fields,Knightbury,Pennsylvania,Denmark,PayPal,407.05,814.1,14.01,Not Returned,S928,Diane Hughes,South,Q3,Generation option lead increase discuss health.
2024-01-25,P8861,Toaster,Home & Kitchen,8,600.43,4803.44,3464.14,1339.3,Retail,C93882,Jordan Barajas,Jordanberg,Washington,Romania,Bank Transfer,240.17,480.34,16.85,Not Returned,S647,Tyler Warren,South,Q1,Down learn weight main fly.
2024-06-23,P9376,Microwave,Home & Kitchen,7,279.65,1957.55,1400.05,557.5,Retail,C51938,Jonathan Smith,West Amanda,Idaho,Holy See (Vatican City State),Credit Card,0.0,195.75,6.07,Not Returned,S348,Crystal Lee,West,Q2,Service area her eye especially phone a.
2024-09-30,P4487,Jacket,Clothing,7,795.72,5570.04,4159.8,1410.24,Online,C45989,Tiffany Anderson,New Jennifershire,South Carolina,Wallis and Futuna,Bank Transfer,557.0,557.0,7.85,Not Returned,S587,Matthew Martin,West,Q3,Vote wrong market though technology there question.
2024-12-13,P2974,Laptop,Electronics,9,813.34,7320.06,3703.8,3616.26,Retail,C61516,Melanie Wilson,Port Jeffrey,Georgia,Fiji,Credit Card,0.0,732.01,12.08,Not Returned,S525,Elizabeth Phillips,West,Q4,Deal left skill clear development involve.
2024-06-19,P1665,Doll,Toys,5,925.21,4626.05,3073.9,1552.15,Wholesale,C87390,Daniel Wong,Gregorychester,Missouri,Kiribati,Credit Card,0.0,462.61,0.71,Not Returned,S672,Daniel Gilbert,South,Q2,Notice season probably office another.
2024-03-25,P3289,Toaster,Home & Kitchen,9,298.96,2690.64,1884.37,806.27,Retail,C42344,Taylor Johnson,Patricialand,Arizona,Faroe Islands,Bank Transfer,0.0,269.06,5.39,Not Returned,S352,Alex Evans,South,Q1,Bill imagine former day TV situation.
2024-01-07,P5524,Smartwatch,Electronics,5,731.03,3655.15,1491.79,2163.36,Retail,C90731,Lance Colon,Edwardsmouth,Ohio,Saint Pierre and Miquelon,Bank Transfer,182.76,365.52,0.77,Not Returned,S109,Keith Moss,West,Q1,Laugh such carry field movement.
2024-06-30,P1427,Headphones,Electronics,8,723.22,5785.76,2851.6,2934.16,Retail,C17747,Glenda Shelton,Kaylastad,New York,American Samoa,PayPal,867.86,578.58,19.18,Not Returned,S321,Chad Scott,North,Q2,Sort dream glass raise.
2024-10-04,P9578,Fiction,Books,4,632.46,2529.84,1732.43,797.41,Wholesale,C83286,Troy Young,Port Wyattborough,Ohio,Liechtenstein,PayPal,252.98,252.98,5.55,Not Returned,S160,Carrie Harrison,East,Q4,Start national reflect vote building.
2024-12-11,P4038,Blender,Home & Kitchen,2,464.44,928.88,380.07,548.81,Retail,C42788,Raven Oliver,Leslieville,Wyoming,Canada,PayPal,46.44,92.89,0.74,Not Returned,S972,Courtney Ferguson,South,Q4,Least money lose ago.
2024-08-08,P9715,Jacket,Clothing,10,60.69,606.9,298.6,308.3,Wholesale,C97636,Kyle Peterson,Collinsmouth,Oregon,Grenada,PayPal,60.69,60.69,9.1,Not Returned,S726,Eric Sullivan,East,Q3,Ready majority peace fish.
2024-05-22,P7134,Comics,Books,3,76.05,228.15,131.5,96.65,Online,C22763,Jeffrey Cowan,Lake Allenside,Oregon,Haiti,Credit Card,11.41,22.82,6.76,Not Returned,S357,Dana Miller,East,Q2,Probably international fact focus.
2024-11-16,P9317,Vacuum Cleaner,Home & Kitchen,1,524.52,524.52,396.79,127.73,Online,C96021,Willie Nelson,Robertmouth,Arkansas,Belize,PayPal,0.0,52.45,11.51,Not Returned,S570,Andrew Heath,North,Q4,Second thing few similar.
2024-02-21,P7256,Action Figure,Toys,3,414.33,1242.99,776.31,466.68,Online,C55116,Lindsay Lindsey,Lake Zachary,Massachusetts,Ukraine,PayPal,124.3,124.3,5.65,Not Returned,S749,Samantha Taylor,West,Q1,Thing stage stage choice enough very right.
2024-10-06,P1722,Microwave,Home & Kitchen,4,450.05,1800.2,1240.98,559.22,Wholesale,C63524,Sarah Shelton,Cynthiachester,Michigan,Turks and Caicos Islands,Credit Card,0.0,180.02,14.39,Not Returned,S669,Maria Lee,South,Q4,Some third positive.
2024-05-15,P5661,Headphones,Electronics,7,140.1,980.7,467.96,512.74,Retail,C37134,Benjamin Anderson,South Larry,Arizona,Kenya,PayPal,98.07,98.07,0.06,Not Returned,S663,Jessica Thomas,North,Q2,Talk beat support down wide leader indicate.
2024-12-20,P7013,T-Shirt,Clothing,7,238.22,1667.54,1177.64,489.9,Retail,C75589,Kristie Williams,West Cherylberg,Iowa,Denmark,PayPal,83.38,166.75,14.48,Not Returned,S780,Sue Harvey,North,Q4,Them whatever service well project science understand wall.
2024-07-20,P6396,Board Game,Toys,4,509.06,2036.24,1430.56,605.68,Wholesale,C86808,April Richards,Lake Blakebury,Georgia,Cuba,Bank Transfer,0.0,203.62,15.63,Not Returned,S310,Joseph Ortiz,East,Q3,Operation fire some but for avoid.
2024-03-23,P4793,Shoes,Clothing,1,87.6,87.6,43.16,44.44,Retail,C65410,Edward Johnson,North Nathaniel,Minnesota,Finland,Bank Transfer,0.0,8.76,2.91,Not Returned,S927,Matthew Webster,East,Q1,Behavior indeed marriage why law.
2024-12-01,P5883,Laptop,Electronics,8,388.4,3107.2,2005.04,1102.16,Wholesale,C55707,Kelly White,Lake Patriciaville,Alaska,Liberia,Credit Card,466.08,310.72,7.28,Not Returned,S145,Spencer Duncan,North,Q4,Mean eight campaign former.
2024-07-02,P6083,Action Figure,Toys,5,743.17,3715.85,2633.85,1082.0,Online,C97897,Seth Neal,Yolandaport,Nebraska,Netherlands,Bank Transfer,557.38,371.59,17.43,Not Returned,S600,Michael Hester,West,Q3,Management campaign produce.
2024-09-22,P3528,Action Figure,Toys,1,529.61,529.61,227.51,302.1,Retail,C92055,Darrell Burton,Lake James,Maine,Jersey,Bank Transfer,52.96,52.96,19.07,Not Returned,S680,Ryan Kline,East,Q3,People season throughout degree question above democratic.
2024-08-21,P9016,Non-fiction,Books,7,60.51,423.57,211.85,211.72,Retail,C80546,Elizabeth Robinson,Clayside,Michigan,Croatia,PayPal,63.54,42.36,18.59,Not Returned,S771,Brandon Brown,West,Q3,Can at body.
2024-02-05,P8649,Board Game,Toys,9,373.0,3357.0,1987.11,1369.89,Online,C95457,Barbara Bennett,Anthonyville,Illinois,Netherlands,PayPal,167.85,335.7,15.05,Not Returned,S574,Katrina Smith,East,Q1,Close of enough fact other.
2024-08-14,P6916,Shoes,Clothing,2,264.54,529.08,331.29,197.79,Wholesale,C27753,Catherine Singleton,Leachville,Hawaii,British Indian Ocean Territory (Chagos Archipelago),Bank Transfer,52.91,52.91,13.12,Not Returned,S104,Kara Smith,West,Q3,Father budget election.
2024-10-11,P3970,Board Game,Toys,1,827.4,827.4,626.27,201.13,Retail,C56132,Dr. Daniel Henson,Mcculloughport,New Hampshire,Cyprus,PayPal,124.11,82.74,0.95,Not Returned,S147,Jennifer Barnes,South,Q4,Business hair piece present drug.
2024-08-04,P7150,Smartphone,Electronics,8,600.97,4807.76,2148.21,2659.55,Online,C32783,Nancy Mason,North Jenniferstad,Illinois,Saint Barthelemy,PayPal,0.0,480.78,1.34,Not Returned,S249,Jeffrey Williams,West,Q3,Item fill hope part everything often pick.
2024-03-22,P4586,Jeans,Clothing,9,661.57,5954.13,2528.04,3426.09,Retail,C74036,Christopher Stewart,Alyssachester,Illinois,Iran,PayPal,297.71,595.41,12.92,Not Returned,S774,Randy Gordon,North,Q1,Yet outside now store over book community.
2024-01-29,P5327,Shoes,Clothing,1,499.43,499.43,359.59,139.84,Online,C82830,Matthew Wolf,Scottshire,Colorado,Uganda,Credit Card,0.0,49.94,7.41,Not Returned,S634,Eric Hamilton,South,Q1,Marriage model exist.
2024-09-30,P9434,Non-fiction,Books,5,528.4,2642.0,1223.67,1418.33,Retail,C18829,Paul Leonard,Connorstad,Washington,Hong Kong,Credit Card,264.2,264.2,8.29,Not Returned,S360,Misty Acosta,South,Q3,Successful fine today around performance red.
2024-02-26,P2974,Toaster,Home & Kitchen,3,817.08,2451.24,1381.01,1070.23,Wholesale,C14067,Jennifer Perry,West Matthew,Virginia,Guernsey,Bank Transfer,245.12,245.12,18.62,Not Returned,S850,Erik Miller,East,Q1,Your thousand safe ever example charge.
2024-04-30,P1542,Smartphone,Electronics,1,241.12,241.12,176.24,64.88,Online,C92620,Connie Garcia,Sethberg,Maine,Venezuela,Bank Transfer,0.0,24.11,5.69,Not Returned,S880,Donald Smith,North,Q2,Four probably bring reason PM event.
2024-08-04,P5442,Jacket,Clothing,10,604.52,6045.2,4182.67,1862.53,Wholesale,C24511,Cindy Cook,West Tracyport,Nebraska,South Africa,Credit Card,0.0,604.52,7.41,Not Returned,S373,Teresa Daniels,East,Q3,Simple call evening suddenly.
2024-01-28,P5773,Smartwatch,Electronics,6,287.02,1722.12,1307.02,415.1,Online,C74146,Shannon Mathews,Lake Sarah,Nebraska,Turkmenistan,PayPal,86.11,172.21,4.09,Not Returned,S646,Donald Nelson,North,Q1,Company describe fact hit fund room.
2024-03-23,P2454,Jeans,Clothing,5,956.92,4784.6,2872.31,1912.29,Retail,C17668,Tara Allison,East Stephen,Pennsylvania,Guyana,Bank Transfer,478.46,478.46,4.3,Not Returned,S306,Amanda Clarke,West,Q1,Know product not reduce three forget.
2024-09-15,P4221,Smartwatch,Electronics,6,974.98,5849.88,3762.21,2087.67,Retail,C88937,Alexis Phillips,South Scottville,Nevada,Paraguay,Bank Transfer,0.0,584.99,16.27,Not Returned,S762,Margaret Saunders,North,Q3,Let responsibility different.
2024-06-10,P7126,Doll,Toys,4,141.4,565.6,427.22,138.38,Retail,C60830,William Griffin,Helenchester,Ohio,Georgia,Bank Transfer,56.56,56.56,14.21,Not Returned,S293,Jerry Bradley MD,South,Q2,Blood away east interesting.
2024-02-05,P4001,Action Figure,Toys,4,58.17,232.68,168.29,64.39,Retail,C95272,Kevin Massey,New Gregorychester,Oklahoma,Pitcairn Islands,Credit Card,0.0,23.27,15.73,Not Returned,S147,Timothy Rogers,East,Q1,Lose college half lay week.
2024-03-19,P8563,Jacket,Clothing,7,346.21,2423.47,1875.14,548.33,Retail,C52238,Ricardo Berg,West Larryview,Idaho,Mozambique,PayPal,121.17,242.35,19.82,Not Returned,S778,Suzanne Clark,West,Q1,Require after plan why now father music.
2024-03-12,P6196,Board Game,Toys,2,39.73,79.46,60.02,19.44,Online,C56841,Edward Cole,West Thomas,Kansas,Sri Lanka,PayPal,3.97,7.95,2.45,Not Returned,S471,Alex Henderson,North,Q1,World bill social sure light.
2024-02-18,P1270,Action Figure,Toys,8,481.23,3849.84,1905.37,1944.47,Online,C37139,Charles King,Jordanchester,Pennsylvania,Sudan,Bank Transfer,192.49,384.98,7.12,Returned,S811,Laura Olson,East,Q1,Region conference lawyer care nor.
2024-12-13,P1972,Headphones,Electronics,6,173.12,1038.72,448.02,590.7,Wholesale,C66829,Tommy Livingston,Danielville,Alabama,Congo,Bank Transfer,51.94,103.87,13.2,Not Returned,S649,Laura Stewart DVM,East,Q4,Owner main to color range.
2024-01-07,P2349,Blender,Home & Kitchen,8,491.28,3930.24,1582.99,2347.25,Online,C78997,Kyle Tapia,North Aaronville,Washington,Poland,Credit Card,0.0,393.02,18.42,Not Returned,S230,Timothy Davis,West,Q1,Mean respond place civil significant.
2024-10-21,P7328,Comics,Books,1,870.88,870.88,533.43,337.45,Wholesale,C38446,Kathryn Benson,South Patrick,Arkansas,Malta,Credit Card,43.54,87.09,9.24,Not Returned,S295,Lisa Carroll,North,Q4,Wall imagine story middle weight total baby.
2024-09-15,P8941,Smartwatch,Electronics,7,275.33,1927.31,1275.2,652.11,Retail,C54304,Sandra Stewart,New Robert,Mississippi,Norway,Bank Transfer,0.0,192.73,15.2,Not Returned,S767,Mary Roberts,North,Q3,Imagine indicate region different leave act.
2024-08-17,P5379,Doll,Toys,7,233.12,1631.84,1171.17,460.67,Online,C14102,Karen Johnson,Kimberlymouth,New Mexico,Norfolk Island,Bank Transfer,163.18,163.18,7.65,Not Returned,S701,Paige Campbell,North,Q3,Test morning article attack fast continue event.
2024-09-30,P4183,Jacket,Clothing,3,787.58,2362.74,1449.34,913.4,Wholesale,C33816,Brandon David,North Kevin,Kentucky,Belize,PayPal,0.0,236.27,19.93,Not Returned,S322,Terri Smith,North,Q3,Project base capital significant.
2024-11-11,P3445,Toaster,Home & Kitchen,7,810.22,5671.54,3379.87,2291.67,Online,C44627,Susan Bell,Port Stephanie,New Mexico,Slovakia (Slovak Republic),PayPal,567.15,567.15,15.79,Not Returned,S962,Ann Drake,West,Q4,Teach meet themselves leader hear.
2024-07-01,P1115,Board Game,Toys,4,926.48,3705.92,2026.34,1679.58,Online,C51515,Eric Blackwell,South Jeffmouth,Pennsylvania,Brunei Darussalam,Credit Card,555.89,370.59,17.22,Not Returned,S700,Sally Williams,West,Q3,Me movement hand.
2024-05-07,P2900,Board Game,Toys,1,214.97,214.97,111.61,103.36,Online,C49554,Ann Rodriguez,South Nathan,California,Ireland,Credit Card,10.75,21.5,3.2,Not Returned,S892,Michelle Thomas,West,Q2,Likely improve good save return.
2024-11-22,P3561,Vacuum Cleaner,Home & Kitchen,4,652.54,2610.16,1559.95,1050.21,Online,C73686,Spencer Brooks,Lake James,Texas,Nigeria,Bank Transfer,0.0,261.02,0.06,Not Returned,S842,Jennifer Campbell,East,Q4,Collection among professor together painting.
2024-04-11,P6583,Non-fiction,Books,5,144.51,722.55,512.67,209.88,Retail,C48777,Amanda Lopez,Taylorton,Virginia,Chad,PayPal,108.38,72.25,9.64,Not Returned,S708,Christine Murray,West,Q2,Direction campaign Congress push modern young.
2024-04-17,P8165,Toaster,Home & Kitchen,8,71.06,568.48,430.39,138.09,Retail,C54955,Alex Williams,North Marissa,Illinois,Philippines,Bank Transfer,0.0,56.85,6.47,Not Returned,S747,Christine Smith,West,Q2,Money buy leg still fire take.
2024-02-04,P5843,Headphones,Electronics,10,442.01,4420.1,2371.52,2048.58,Wholesale,C94767,Dr. Chad Schwartz,Stephenton,Colorado,Congo,PayPal,0.0,442.01,6.93,Not Returned,S761,Nancy Hurst,West,Q1,Wall significant debate front.
2024-10-06,P9874,Smartwatch,Electronics,6,641.22,3847.32,2084.23,1763.09,Online,C87578,John Myers,East Peter,California,Libyan Arab Jamahiriya,PayPal,577.1,384.73,4.41,Not Returned,S412,Mr. Craig Gonzalez,South,Q4,Participant cold machine our hospital.
2024-11-05,P2880,Non-fiction,Books,9,410.85,3697.65,2291.42,1406.23,Retail,C51777,Antonio Pacheco,Harperland,Indiana,India,PayPal,0.0,369.77,9.03,Not Returned,S252,Anthony Lawson,North,Q4,One quickly mission score stay question population.
2024-11-02,P5100,Biography,Books,8,279.66,2237.28,1552.25,685.03,Wholesale,C39238,Gina Green,Brianton,Montana,Guernsey,PayPal,111.86,223.73,4.93,Not Returned,S602,Keith Davies,South,Q4,Each scene control standard.
2024-05-04,P4086,Vacuum Cleaner,Home & Kitchen,10,719.63,7196.3,3307.58,3888.72,Retail,C35380,Ruth Mcdaniel,Taylorview,Idaho,Reunion,Credit Card,359.82,719.63,16.7,Not Returned,S597,Daniel Miller,East,Q2,Like practice century go east trip election.
2024-11-10,P6041,Smartphone,Electronics,4,38.75,155.0,83.65,71.35,Retail,C48042,Kenneth Gonzales,Pamelaville,South Dakota,Palau,PayPal,23.25,15.5,7.53,Not Returned,S672,Debra Morales,East,Q4,Good fish money fight region summer.
2024-09-28,P6316,Fiction,Books,7,375.47,2628.29,1613.86,1014.43,Online,C91403,Amber Ramirez,Tammyburgh,South Carolina,San Marino,PayPal,394.24,262.83,10.54,Not Returned,S646,Sonya Torres,South,Q3,Early wait agency change should event.
2024-12-14,P3512,T-Shirt,Clothing,2,264.9,529.8,358.5,171.3,Wholesale,C38802,Jennifer Dickson,Andrewstad,Connecticut,Monaco,Bank Transfer,52.98,52.98,14.57,Not Returned,S988,Greg Stone,North,Q4,Region over return their down adult.
2024-12-23,P1409,Biography,Books,4,547.61,2190.44,1236.0,954.44,Retail,C97179,Michael Burgess,Mauricefurt,Minnesota,Togo,PayPal,109.52,219.04,2.11,Not Returned,S445,Shelley Rivera,West,Q4,Identify stand positive record wide suddenly.
2024-09-29,P9082,Microwave,Home & Kitchen,8,180.87,1446.96,951.4,495.56,Wholesale,C86498,Joe Cline,Gardnerland,Kentucky,Croatia,Bank Transfer,144.7,144.7,10.42,Not Returned,S472,Derrick Dunn,North,Q3,Meet a growth bill during professional.
2024-01-01,P8525,Vacuum Cleaner,Home & Kitchen,3,536.89,1610.67,677.23,933.44,Retail,C33712,Aaron Petersen,Michelletown,North Carolina,Sierra Leone,PayPal,161.07,161.07,12.73,Not Returned,S706,April Ray,North,Q1,Leave provide story factor camera.
2024-12-12,P8540,Jeans,Clothing,1,129.82,129.82,78.78,51.04,Retail,C66038,Darren Malone,Port Christopherport,California,Guadeloupe,PayPal,6.49,12.98,18.46,Not Returned,S909,Brandi Wilson,West,Q4,Bill situation war way happy.
2024-11-05,P8662,Fiction,Books,5,39.98,199.9,123.02,76.88,Online,C96359,David Crosby,Kimberlyborough,North Carolina,Congo,Bank Transfer,19.99,19.99,17.34,Not Returned,S728,Ronald Clark,East,Q4,Reduce recent look audience generation set onto figure.
2024-01-22,P6089,Non-fiction,Books,3,346.7,1040.1,614.72,425.38,Retail,C54267,Daniel Ferguson,Normanhaven,Minnesota,New Caledonia,Bank Transfer,0.0,104.01,7.45,Not Returned,S557,Courtney Paul,South,Q1,Happen society meet many decade gun see individual.
